Application No,Date Of Filing Application,Date Of Publication,Title,Name of Applicant,Address,Name of inventor,Abstract,No of Pages
4109/DELNP/2009 A ,22/06/2009,01/01/2010,NANOSTRUCTURED LED ARRAY WITH COLLIMATING REFLECTORS , 1)QUNANO AB  ,"IDEON SCIENCE PARK, SCHEELEVAGEN 17, 223 70 LUND (SE) Sweden "," 1)SAMUELSON, LARS 2)PEDERSEN, BO 3)OHLSSON, JONAS 4)MARTYNOV, YOURII 5)KONSEK, STEVEN, L 6)HANBERG, PETER, JESPER ","The present invention relates to nanostructured light emitting diodes, LEDs. The nanostructured LED device according to the invention comprises an array of a plurality of individual nanostructured LEDs. Each of the nanostructured LEDs has an active region wherein light is produced. The nanostructured device further comprise a plurality of reflectors, each associated to one individual nanostructured LED (or a group of nanostructured LEDs. The individual reflectors has a concave surface facing the active region of the respective individual nanostructured LED or active regions of group of nanostructured LEDs.  ",42
4110/DELNP/2009 A ,22/06/2009,01/01/2010,ELEVATED LED AND METHOD OF PRODUCING SUCH , 1)QUNANO AB  ,"IDEON SCIENCE PARK, SCHEELEVAGEN 17, S-223 70 LUND (SE) Sweden "," 1)PEDERSEN, BO 2)SAMUELSON, LARS 3)OHLSON, JONAS 4)SVENSSON, PATRIK ",The present invention relates to light emitting diodes comprising at least one nanowire. The LED according to the invention is an upstanding nanostructure with the nanowire protruding from a substrate. A bulb with a larger diameter than the nanowire is arranged in connection to the nanowire and at an elevated position with regards to the substrate. A pn-junction is formed by the combination of the bulb and the nanowire resulting in an active region to produce light.  ,39
4077/DELNP/2009 A ,19/06/2009,01/01/2010,METHODS AND APPARATUS FOR VIDEO ERROR CORRECTION IN MULTI-VIEW CODED VIDEO , 1)THOMSON LICENSING  ,"46, QUAI A.LE GALLO, F-92100 BOULOGNE-BILLANCOURT (FR) France "," 1)PANDIT, PURVIN, BIBHAS 2)YIN, PENG 3)SU, YEPING ",There are provided methods and apparatus for video error correction in multi-view coded video. An apparatus includes a decoder (100) for decoding pictures for at least one view corresponding to multi-view video content from a bitstream. The decoder (100) determines whether any of the pictures corresponding to a particular one of the at least one view are lost using an existing syntax element. The existing syntax element is for performing another function other than picture loss determination (315). The particular one of the at least one view is compliant with at least one of a video coding standard and a video coding recommendation.  ,39
4078/DELNP/2009 A ,19/06/2009,01/01/2010,SCP-CONTROLLED OVERLAY BETWEEN GSM AND IMS , 1)TELEFONAKTIEBOLAGET LM ERICSSON (PUBL)  ,SE-164 83 STOCKHOLM (SE) Sweden ," 1)NOLDUS, ROGIER AUGUST CASPAR JOSEPH 2)TERRILL, STEPHEN ","The invention relates to method of executing a service in a Media Gateway Control Function (12) for establishing a call between a calling party""s terminal (8) served by a Mobile Switching Centre (2), and an IP Multimedia Subsystem Service (20). The Media Gateway Control Function (12) is arranged to query a Service Control Point (10) on which an overlay process is loaded. The correct SCP (10) is identified by the MGCF (12) using a correlation identifier originally published by the SCP itself after having received an IN service trigger from an MSC or GMSC. The MGCF will receive call related data from the SCP, such as the original dialled number. This data is used by the MGCF to populate information elements in a SIP Invite message. The invention gives a solution for providing GSM specific information, e.g. dialled number, location information, to an IMS service. This information may not be available to the IMS service through present methods.  ",27
4079/DELNP/2009 A ,19/06/2009,01/01/2010,FLUORINATED COMPOSITIONS AND SYSTEM USING SUCH COMPOSITIONS , 1)E.I. DU PONT DE NEMOURS AND COMPANY  ,"1007 MARKET STREET, WILMINGTON, DELAWARE 19898, U.S.A "," 1)BIVENS, DONALD, BERNARD 2)LECK, THOMAS, J ","Disclosed are refrigerant compositions comprising the following components, as expressed in weight percent, and such that the total adds up to 100%, including any additives. 7.0-9.0 % wt. R32 [difluoromethane, CH2F2, having a normal boiling point of-51.7øC]; 39.0-50.0 % wt. R125 [pentafluoroethane, CF3CHF2, having a normal boiling point of-48.5øC]; 39.0 50.0 % wt R134a [1, 1, 1, 2 tetrafluoroethane, CF3CHF2, normal boiling point of-26.1 øC]; 1.9 to 2.5 % wt hydrocarbon, which consists essentially of 1.5 -1.8 % wt R600 [n-butane, CH3CH2CH2CH3, normal boiling point of-0.5øC], and 0.4 -0.7 % wt R601a [isopentane, ((CHsl)lCHCH2CH3, having normal boiling point of +27.8øC] or R601 [n-pentane (CH3CH2CH2 CH2CH3, having a normal boiling point of +36øC)]. Further disclosed are refrigerators, freezers, air conditioners, water chillers, and heat pumps using the compositions described herein as at least one of the heat transfer compositions in the equipment.  ",77
4141/DELNP/2009 A ,23/06/2009,01/01/2010,"""IMPACT-MODIFIED POLYCARBONATE COMPOSITIONS"" ", 1)BAYER MATERIALSCIENCE LLC  ,"51368 LEVERKUSEN, GERMANY ", 1)ANDREAS SEIDEL 2)ACHIM FELDERMANN ,"The present invention relates to filled, impact-modified polycarbonate compositions containing A) aromatic polycarbonate and/or aromatic polyester carbonate, B) a first graft polymer of B. 1 from 0.1 to 30 wt.% of at least one vinyl monomer on B.2 from 99.9 to 70 wt.% of one or more graft bases having glass transition temperatures < 10øC, the graft base consisting of at least 50 wt.% of a silicone rubber, C) a second graft polymer, which is different from component B, of C. 1 from 5 to 95 wt.% of at least one vinyl monomer on C.2 from 95 to 5 wt.% of one or more graft bases having glass transition temperatures < 10øC, the graft base consisting of at least 50 wt.% of an EPDM rubber, D) rubber-free vinyl (co)polymer and/or polyalkylene terephthalate, and E) polymer additives, wherein components B and C are present in a ratio (BC) in the range from 2080 to 8020 and wherein the composition contains from 10 to 92 parts by weight of component A, from 8 to 90 parts by weight of the sum of components B and C, from 0 to 35 parts by weight of component D, and from 0 to 30 parts by weight of component E, which have good stability to ageing and which are distinguished by high low-temperature strength and by low gloss, to a process for their production and to their use in the production of moulded bodies.  ",29
4087/DELNP/2009 A ,20/06/2009,01/01/2010,SYSTEM AND METHOD FOR LUBRICATING POWER TRANSMITTING ELEMENTS , 1)KOHLER CO.  ,444 Highland Drive Kohler Wisconsin 53044 United States of America , 1)George A. Jankuski ,"Disclosed herein is a lubrication system (10) and method. The system (10) includes a main engine bearing (15) and a crankshaft (16) in operational association with the bearing. (15) The crankshaft i (16) includes an end (11) having a cavity with a power transmitting element (13) (e.g., splines). The cavity (19) can receive and engage an additional mechanism to transmit power thereto. The crankshaft (16) further includes a first oil passage (12) that is disposed within the end and a second oil passage (14) that extends from the main engine bearing into the crankshaft. The first oil passage intersects the second oil passage. The system also includes a pump mechanism for circulating lubricating oil from the main engine bearing to the crankshaft. The first oil passage intersects the second oil passage. The system also includes a pump mechanism for circulating lubricating oil from the main engine bearing to the crankshaft through the second oil passage and the first oil passage, and to the cavity to lubricate the power transmitting element. During engine operation, a constant supply of lubricating oil can be provided to the power transmitting element to reduce component wear.  ",13
4146/DELNP/2009 A ,23/06/2009,01/01/2010,"""APPARATUS AND METHOD FOR AUTOMATED IVENTORY TRACKING AND AUTHENTICATION"" ", 1)VONAGE NETWORK LLC  ,"23 MAIN STREET, HOLMDEL, NEW JERSEY 07733 (US) U.S.A. "," 1)SMIRES, DANIEL T 2)GRIKAS, MARY 3)KHACHROO, JYOTSNA ","Method and apparatus for automated inventory tracking and authentication using device identity-containing information associated with at least one device that is part of an inventory. The method includes accepting initial device identity-containing information from an inventory origination point to a first sales distribution point and accepting additional device identity-containing inventory from each instance of a new and successive sales distribution point as inventory moves through a supply chain. This information is stored and then later compared to a device ID of the at least one device. An authentication action is performed upon the at least one device based upon said accepted initial and additional information. The device identity-containing information includes MAC address information, device serial number information.  ",29
4147/DELNP/2009 A ,23/06/2009,01/01/2010,"""METHOD AND APPARATUS FOR VENTILATION ASSISTANCE"" "," 1)MASIONIS, EDWARD  ","1603 BATHURST ST.,UNIT 106, TORONTO, ONTARIO M5P 3J2, CANADA  2)FEDORKO, LUDWIK "," 1)MASIONIS, EDWARD 2)FEDORKO, LUDWIK ","A mask interface device is provided for a protective mask of the type having a mask Filter and a mask expiratory port, the mask expiratory port having an expiratory port valve of the type that is normally closed and openable upon expiration, the mask filter having an inspiratory air inlet, the mask interface device comprisinga mask interface assembly mountable to the mask and having a mounting interface for mounting an air pressure generator in fluid communication with the inspiratory inlet of the mask filter; and an expiratory port interface assembly mountable to the mask expiratory port and comprising at least one opening for venting expired gas to atmosphere and a one-way valve that is positioned to control the flow of expired gas out through the at least one opening, and wherein the one-way valve is set to an opening pressure that provides positive end expiratory pressure or PEEP. Optionally, this opening pressure is between 2.5 and 20 cm H20. Optionally, the mask interface device interface directly with the mask filter. In one embodiment of the invention, this interface does not require the filter to have a mating connection and is therefore is universal for a broad class of filters, for example cylindrical filters that project from the mask.  ",37
4148/DELNP/2009 A ,23/06/2009,01/01/2010,"""USING DTX AND DRX IN WIRELESS COMMUNICATION SYSTEM"" ", 1)QUALCOMM INCORPORATED  ,"ATTNINTERNATIONAL IP ADMINISTRATION, OF 5775 MOREHOUSE DRIVE, SAN DIEGO, CALIFORNIA 92121- 1714 U.S.A ", 1)DAMNJANOVIC ALEKSANDAR 2)TENNY NATHAN EDWARD ,"Systems, methodologies, and devices are described that can facilitate reducing power consumption associated with mobile devices. A mobile device can utilize a sleep mode controller that can facilitate selecting and/or switching to a desired sleep mode based in part on predefined sleep mode criteria. The sleep modes can include a non-sleep mode, light sleep mode, and/or deep sleep mode. The mobile device can employ an analyzer to evaluate information related to explicit signals, implicit signals, and/or the current sleep mode to determine whether a condition is met based in part on the predefined sleep mode criteria such that a transition to a different sleep mode is to be performed. If such a condition is met, the sleep mode controller can facilitate transitioning from the current sleep mode to a different sleep mode to facilitate reducing power consumption by the mobile device.  ",50
4094/DELNP/2009 A ,22/06/2009,01/01/2010,"""GONIOMETRIC SYSTEM COMPRISING NETWORKS OF MINI DOPPLER SENSORS FOR PERIMETER SURVEILLANCE"" ", 1)THALES  ,"45, RUE DE VILLIERS, 92200 NEUILLY SUR SEINE, FRANCE ", 1)FRANCOIS DHONDT 2)JEAN-PHILIPPE BRUNET 3)ANNE COGNIEUX ,"The present invention relates to the detection of intruders (human beings, vehicles or animals) in a protected zone and the departure of individuals from this zone. The invention relates to a device which comprises a plurality of individual standalone electromagnetic sensors placed on the perimeter of the guarded zone so as to totally cover this perimeter, and a central unit placed close to the perimeter surrounding the guarded zone. Each sensor takes a measurement of the angular position and of the speed of any intruder present in the zone that it covers. These measurements are relayed to the central unit from the sensor having detected the intruder, through a communication network formed by all of the sensors. The central unit processes the data transmitted by the various sensors and periodically determines the position and trajectory of the detected intruders. The invention applies in particular to the guarding of civil and military infrastructures (airports, factories, oil pipelines, gas pipelines, ports, railways etc.) or of private zones (properties, estates).  ",20
4095/DELNP/2009 A ,22/06/2009,01/01/2010,"""METHODS OF CONTROLLING POLYMER PROPERTIES"" "," 1)UNIVATION TECHNOLOGIES, LLC.  ","5555 SAN FELIPE STREET, SUITE 1950, HOUSTON, TEXAS 77056-2746, U.S.A ", 1)RAINER KOLB 2)JAMES M. FARLEY 3)JOHN F. SZUL 4)MARK P. OSSOWSKI ,"The invention generally provides for methods for controlling poiymer properties. In particular, invention provides for methods for controlling the comonomer composition distribution of polyolefms such as ethylene alpha-olefin copolymers by altering at least one or more of the following parametersthe molar ratio of hydrogen to ethylene, the molar ratio of comonomer to ethylene, the partial pressure of ethylene, and the reactor temperature without substantially changing the density and/or the melt index of the copolymer.  ",46
4096/DELNP/2009 A ,22/06/2009,01/01/2010,"""ORGANIC PHOTOVOLTAIC CELLS UTILIZING ULTRATHIN SENSITIZING LAYER"" ", 1)THE TRUSTEES OF PRINCETON UNIVERSITY  ,"P.O.BOX 36, PRINCETON, NEW JERSEY 08544, U.S.A  2)THE REGENTS OF THE UNIVERSITY OF MICHIGAN ", 1)STEPHEN R. FORREST 2)FAN YANG 3)BARRY P RAND ,"A photosensitive device includes a plurality of organic photoconductive materials disposed in a stack between a first electrode and a second electrode, including a first continuous layer of donor host material, a second continuous layer of acceptor host material, and at least one other organic photoconductive material disposed as a plurality of discontinuous islands between the first continuous layer and the second continuous layer. Each of these other photoconductive materials has an absorption spectra different from the donor host material and the acceptor host material. Preferably, each of the discontinuous islands consists essentially of a crystallite of the respective organic photoconductive materia], and more preferably, the crystallites are nanocrystals.  ",48
4097/DELNP/2009 A ,22/06/2009,01/01/2010,"""SELF-SEALING COMPOSITION FOR AN INFLATABLE ARTICLE"" ", 1)SOCIETE DE TECHNOLOGIE MICHELIN  ,"23 RUE BRESCHET F-63000, CLERMONT-FERRAND, FRANCE  2)MICHELIN RECHERCHE ET TECHNIQUE S.A ", 1)LOIC ALBERT 2)EMMANUEL CUSTODERO 3)PIERRE LESAGE 4)JOSE MERINO LOPEZ 5)LUCIEN SYLVAIN ,"Use as self-sealing composition, in an inflatable article such as a pneumatic tyre (1), of an elastomer composition comprising at least, as predominant elastomer, a thermoplastic styrene (TPS) elastomer and an extender oil with a content of between 200 and 700 phe (parts per hundred parts of elastomer by weight). Airtight puncture-resistant laminate (10) that can be used in particular in said inflatable article (1), comprising at least a puncture-resistant first layer (10a) comprising said self-sealing composition and an airtight second layer (10b), for example based on butyl rubber. Inflatable article comprising such a self-sealing composition or such an airtight puncture-resistant laminate.  ",19
4122/DELNP/2009 A ,22/06/2009,01/01/2010,"""TORSION BEAM SUSPENSION"" ", 1)TOYOTA JIDOSHA KABUSHIKI KAISHA  ,"1, TOYOTA-CHO, TOYOTA-SHI, AICHI 471-8571 JAPAN ", 1)YOSHIHISA KATO 2)YOSHIHARU ISOSHIMA 3)YOSHIAKI KADOMA ,"A torsion beam type suspension of a novel structure, produced at low cost and having high quality. The torsion beam type suspension has a torsion beam (1) where arms (11R, 11L) are formed by bending both ends of a pipe material (10) and also has wheel installation members (12R, 12L) fixed to the arms (11R, 11L), respectively. Portions (22a, 22a) to be inserted of the wheel installation members (12R, 12L) are inserted into open ends (11a, 11a) of the arms (11R, 11L), and the wheel installation members (12R, 12L) are welded to the arms (11R, 11L).  ",20
4123/DELNP/2009 A ,22/06/2009,01/01/2010,"""DYNAMICALLY CONFIGURABLE LOGIC GATE USING A NONLINEAR ELEMENT"" "," 1)CHAOLOGIX, INC.  ","101 SE 2ND PLACE, GAINESVILLE, FL 32601 U.S.A ", 1)KIEL STEVEN LEE 2)KRENING DOUGLAS NORMAN 3)SCHNEIDERWIND MICHAEL JOSEPH 4)LEHMAN LARK EDWARD ,"A dynamically configurable logic gate includes an input summer for receiving a first input signal and a second input signal to generate a summed input signal. Further the dynamically configurable logic gate includes a nonlinear element that applies a nonlinear function to the summed input signal to produce a nonlinear output signal. The dynamically configurable logic gate output signal corresponds to one of a plurality of different logic gates responsive to adjusting the summed input signal and/or the nonlinear function. In another embodiment, the dynamically configurable logic gate includes feedback to one of the inputs. The dynamically configurable logic gate receives the two inputs and operates as one of a plurality of different logic gate types so as to produce an output signal that corresponds to a memory latch according to a selection of the control signal. An array structure of dynamically configurable logic elements is also disclosed.  ",38
4124/DELNP/2009 A ,22/06/2009,01/01/2010,"""TESTING SYSTEM AND METHOD OF SET TOP BOX "," 1)UTSTARCOM TELECOM CO.,LTD  ","368 LIUHE ROAD, BINGJIANG, HANGZHOU 310053, CHINA ", 1)ZHONGYUE HUANG ,"The present invention relates to a testing system for set top box comprising an input unit, a instruction processing unit, a transmitting unit, and a monitoring unit. The present invention also relates to a method for testing set top box, comprisingreceiving instructions in a first format; transforming said instructions in the first format to instructions in a second format; transmitting said instructions in the second format via serial communication interface to the transmitting unit; said transmitting unit transmits a remote control signal to said set top box in response to said instructions in the second format. With the testing system and method for set top boxes according to the present invention, it can relieve testing engineers of high workload, meanwhile more accurate and convenient testing can be achieved.  ",11
4125/DELNP/2009 A ,22/06/2009,01/01/2010,A LOCATION SYSTEM AND METHOD FOR A TV NAVIGATION INTERFACE ," 1)UTSTARCOM TELECOM CO.,LTD  ","368 LIUHE ROAD, BINGJIANG, HANGZHOU 310053, CHINA ", 1)CUNZHI FAN ,"[0024] A positioning system of television navigation interface is disclosed in the invention, said positioning system comprisesa set-top box (10) and an EPG server (20). A positioning method of television navigation interface is also disclosed in the invention, it comprises service step for using normally the set-top box; step for inputting EPG interface code; step for transmitting EPG interface code by the set-top box to EPG server; step for inquiring the interface address corresponding to EPG interface code by the EPG server; step for returning EPG interface address; step for requesting EPG interface aimed at by said EPG interface address; and step for returning said requested EPG interface. By using the system and method of the invention, the operation interface can be positioned rapidly by a user via simple and apparent EPG interface code and it is easy to communicate with other TV users.  ",12
4149/DELNP/2009 A ,23/06/2009,01/01/2010,"""PATTERN SEARCHING METHODS AND APPARATUSES"" ", 1)APPLE INC  ,"1 INFINITE LOOP, CUPERTINO, CALIFORNIA 95014 U.S.A ", 1)BONNET OLIVIER 2)DEJAEGER FREDERIC 3)PATERSON TOBY ,"A computer-based method for identifying patterns in computer text using structures defining types of patterns which are to be identified, wherein a structure comprises one or more definition items, the method comprising assigning a weighting to each structure and each definition item; searching the computer text for a pattern to be identified on the basis of a particular structure, a pattern being provisionally identified if it matches the definition given by said particular structure; in a provisionally identified pattern, determining those of the definition items making up said particular structure that have been identified in the provisionally identified pattern; combining the weightings of the determined definition items and optionally, the weighting of the particular structure, to a single quantity; assessing whether the single quantity fulfils a given condition; depending on the result of said assessment, rejecting or confirming the provisionally identified pattern.  ",33
4150/DELNP/2009 A ,23/06/2009,01/01/2010,"""PRODUCTION OF PERACIDS USING AN ENZYME HAVING PERHYDROLYSIS ACTIVITY"" ", 1)E.I. DU PONT DE NEMOURS AND COMPANY  ,"1007 MARKET STREET, WILMINGTON, DELAWARE 19898 U.S.A ", 1)DICOSIMO ROBERT 2)GAVAGAN JOHN E 3)PAYNE MARK S 4)COOLING FREDERICK B ,"A process is provided for producing peroxycarboxylic acids from carboxylic acid esters. More specifically, carboxylic acid esters are reacted with an inorganic peroxide, such as hydrogen peroxide, in the presence of an enzyme catalyst having perhydrolysis activity. The present perhydrolase catalysts are classified as members of the carbohydrate esterase family 7 (CE-7) based on the conserved structural features. Further, disinfectant formulations comprising the peracids produced by the processes described herein are provided.  ",108
4176/DELNP/2009 A ,23/06/2009,01/01/2010,KNEE-PROTECTING AIRBAG APPARATUS , 1)TOYOTA JIDOSHA KABUSHIKI KAISHA  ,1 Toyota-cho Toyota-shi AICHI 471-8571 Japan , 1)ADACHI Yuichi 2)BITO Kazuaki 3)FUKAWATASE Osamu 4)SANADA Akiyoshi ,The knee-protecting airbag apparatus is mounted on a lower region of a column cover covering a steering column of vehicle projecting rearward from an instrument panel. The airbag (47) folded and housed in a housing emerges and spreads in four directions from the housing for deployment in front of knees of a driver when fed with inflation gas from an inflator (41) that is stored inside the airbag (47) and disposed to the rear side of the housing. Folding of the airbag (47) before being stored in the housing is such that left and right areas of a region (50) attached to the housing is folded on the side of the column side wall (49) to reduce the lateral width L2 of the airbag (47) without superimposing the left and right areas of the mounting region (50) on the inflator (41) in the vertical direction and a folded region (63) on the front side of the mounting region (50) is located in parallel with and in front of the inflator (41).  ,59
4177/DELNP/2009 A ,23/06/2009,01/01/2010,SURFACE FINISHING OF ROTOR BLADES FOR WIND TURBINES , 1)VESTAS WIND SYSTEMS A/S  ,Alsvej 21 DK-8940 Randers SV Denmark , 1)MÇ˜LLER Keld Hviid 2)SIIG Bjarne 3)SARDELLANO Angelo ,"The present invention relates to a method for surface treatment of a wind turbine rotor blade (1) comprising a leading edge and a trailing edge separating substantially opposing first and second surfaces of said rotor blade. The method comprises the steps of providing a wind turbine rotor blade, supporting said rotor blade at least at a root end and at a distal position along a longitudinal axis of the rotor blade and providing moveably arranged first and second surface treatment devices (24, 25) adapted to provide surfac treatment of the first and second surfaces of the rotor blade, respectively, wherein the first and second surface treatment devices are moved in opposite directions and towards the leading and trailing edges, respectively, during surface treatment of the first and second surfaces of the rotor blade.  ",32
4142/DELNP/2009 A ,23/06/2009,01/01/2010,"""COMBINATION PRODUCT FOR CONTROLLING PARASITES ON ANIMALS"" ", 1)BAYER ANIMAL HEALTH GMBH  ,"51368 LEVERKUSEN, GERMANY ", 1)KIRKOR SIRINYAN 2)ANDREAS TURBERG ,"The invention relates to novel compositions for controlling parasites on animals, comprising an N-arylpyrazole and also a pyrethroid in a formulation comprising aliphatic cyclic carbonates and aliphatic cyclic or acyclic poly ethers.  ",34
4143/DELNP/2009 A ,23/06/2009,01/01/2010,"""WIND TURBINE BLADE"" ", 1)DANMARKS TEKNISKE UNIVERSITET  ,"ANKER ENGELUNDSVEJ 1, DTU-BYGNING 101A, 2800 KGS. LYNGBY, DENMARK ", 1)FIND MÇ˜LHOLT JENSEN ,"The invention relates to a blade for a wind turbine, particularly to a blade that may be produced by an advanced manufacturing process for producing a blade with high quality structural components. Particularly, the structural components, which are preferably manufactured from fibre reinforced plastic material, will have a high level of stretched fibres as well as a far better controlled resin distribution and content and also a low void content.  ",35
4144/DELNP/2009 A ,23/06/2009,01/01/2010,"""1-BIARYLAZETIDINONE DERIVATIVE"" ", 1)TEIJIN PHARMA LIMITED  ,"2-1, KASUMIGASEKI 3-CHOME, CHIYODA-KU, TOKYO 100-0013, JAPAN ", 1)AKIRA NAKANO 2)RYOTA NAKAJIMA 3)MASANOBU KANOU 4)SEIICHI HISAMATSU 5)MASAYUKI KUROKAWA 6)YASUMI NISHIWAKI ,"The object of the present invention is to provide a compound having an excellent cholesterol-lowering effect and to provide a drug for the treatment, prevention of onset, or prevention of progress of lipid metabolism disorder, hyperlipidemia, or atherosclerosis. A compound represented by formula (I) or a pharmaceutically acceptable salt thereof; or a medicament or a pharmaceutical composition, which contain the compound or the salt as an active ingredient.  ",128
4145/DELNP/2009 A ,23/06/2009,01/01/2010,"""NEW PYRIDINE ANALOGUES IX 519"" ", 1)ASTRAZENECA AB  ,"S-151 85 SODERTALJE, SWEDEN ", 1)THOMAS ANTONSSON 2)PETER BACH 3)DAVID BROWN 4)RUTH BYLUND 5)FABRIZIO GIORDANETTO 6)JOHAN JOHANSSON ,"The present invention relates to certain new pyridin analogues of Formula (I) to processes for preparing such compounds, to their utility as P2Y12 inhibitors and as anti-trombotic agents etc, their use as medicaments in cardiovascular diseases as well as pharmaceutical compositions containing them.  ",169
4191/DELNP/2009 A ,24/06/2009,01/01/2010,METHOD FOR CLEANING BEVERAGE FILLING LINES , 1)AQUAGROUP AG  ,Prinz-Ludwig-Strasse 17 93055 Regensburg Germany. , 1)Dr.Michael SAEFKOW 2)AndrÇ¸ PHILIPPS 3)Manuel CZECH ,"The invention relates to a method for cleaning beverage filling lines. According to said method, one or more beverage fillers (30) having a filler head (32) are continuously or intermittently rinsed in a beverage filling chamber (20) of the beverage filling line (20) during operation of the beverage filling line with an aqueous, physiologically acceptable cleaning medium (110) which is present at ambient temperature. Preferably, containers (40a) that are filled in the beverage filling chamber (20) with a beverage (35), and/or conveying means (60) for transporting the containers are continuously or intermittently rinsed with the cleaning medium (110) during transport through the beverage filling chamber (20). The cleaning medium preferably has a disinfecting effect.  ",17
4202/DELNP/2009 A ,24/06/2009,01/01/2010,WIND TURBINE PITCH-ANGLE CONTROL DEVICE AND METHOD THEREOF , 1)MITSUBISHI HEAVY INDUSTRIES LTD.  ,16-5 Konan 2-chome Minato-ku Tokyo 108-8215 Japan , 1)Yoshiyuki HAYASHI ,"A windmill pitch angle controller which reduces aerodynamic loading at the time of stoppage of a windmill. Upon input of a windmill stop instruction, the windmill pitch angle controller moves a pitch angle of each of windmill wings 5-1, 5-2 and 5-3 to a feathering position after matching the pitch angle of each of the windmill wings 5-1, 5-2 and 5-3.  ",27
4203/DELNP/2009 A ,24/06/2009,01/01/2010,METHODS FOR USING A CATALYST PREBURNER IN FUEL PROCESSING APPLICATIONS , 1)TEXACO DEVELOPMENT CORPORATION  ,6001 Bollinger Canyon Road-3rd Floor San Ramon California 94583 United States of America , 1)YOU Lixin 2)CASEY Daniel G. 3)NGUYEN Kevin H. ,"Methods of using a catalyst preburner upstream of a catalyst burner, such as an anode tailgas oxidizer (ATO), in fuel processing applications. The methods prepare a hydrogen containing gas mixture which can be effectively combusted in a single ATO. The catalyst preburner will convert raw fuels into a gas mixture including hydrogen. This hydrogen containing gas mixture then mixes with the required air flow and anode tailgas and off-gas from a pressure swing adsorption unit before being introduced into the catalyst burner. The methods address the start-ups needs of an ATO as well as the requirement that an ATO be able to burn both liquid and gas fuels in a single unit.  ",21
3846/DELNP/2009 A ,11/06/2009,01/01/2010,PLASTIC ELECTRONIC COMPONENT PACKAGE , 1)QUANTUM LEAP PACKAGING INC.  ,200 Research Drive Wilmington MA 01887 United States of America , 1)ZIMMERMAN Michael A. 2)SMITH Keith 3)SHVERDIN Jacob ,"A plastic package for an image sensor comprises a plastic body molded around a leadframe and defining a cavity in which the image sensor is to be disposed. A lid assembly is provided having a transparent glass lid retained in a plastic lid frame which is weldable or otherwise bondable to the plastic body of the package to enclose the image sensor mounted in the cavity. An interfacial layer is formed on the surfaces of the leadframe composing of a cuprous oxide base layer formed on a surface of the leadframe, and a cupric oxide layer formed on the cuprous oxide layer. The curic oxide outer layer has an acicular structure which provides an interlocking mechanism for adhesion to the plastic material molded thereto in forming the package.  ",35
3847/DELNP/2009 A ,11/06/2009,01/01/2010,SNACK CHIP CONTAINING BUCKWHEAT HULLS , 1)FRITO-LAY NORTH AMERICA INC.  ,7701 Legacy Drive Plano TX 75024-4099 United States of America , 1)KELLY Joseph William 2)MOROS Terry 3)PUPPALA Vamshidhar 4)WEGE Paula A. ,A multi-grain chip having buckwheat hull inclusion of a specific particle size. The buckwheat hull component of the chip provides a visual indication of the multi-grain characteristics of the chip. The particle size of the buckwheat hulls is specified in order to compliment production of the chip on existing corn chip lines and to enhance product visual attributes.  ,22
3848/DELNP/2009 A ,11/06/2009,01/01/2010,"ORAL DISINFECTANT, AND FOOD ADDITIVE COMPRISING THE DISINFECTANT ", 1)MORINAGA MILK INDUSTRY CO. LTD.  ,33-1 Shiba 5-chome Minato-ku Tokyo 1088384 Japan , 1)Kouichirou SHIN 2)Ayako HORIGOME 3)Koji YAMAUCHI ,"Disclosed is a disinfectant which is safe, has few adverse side-effects, can be ingested together with a food or beverage by adding the disinfectant to the food or beverage, shows a bactericidal effect in the oral cavity, and has no problem even when ingested on a daily basis over a long period. Also disclosed is a food additive comprising the disinfectant. Specifically, disclosed is an oral disinfectant for the disinfection of an oral bacterium, which comprises lactoperoxidase, glucose oxidase, glucose and a pH-adjusting component.  ",32
4233/DELNP/2009 A ,25/06/2009,01/01/2010,SUITCASE WITH EXTENSIBLE STEERING WHEELS , 1)RESINT NV  ,"CARACASBAAIWEG 199, CURACAO, NETHERLAND ANTILLES, THE NETHERLANDS "," 1)GRAF VON BISMARCK, GREGOR ","A suitcase is provided with a pair of wheels (16, 126) installed at one side of a body of the suitcase (12) and a handlebar (14) projecting from the body of the suitcase on a side opposite where the wheels (16, 126) are installed and a board (13, 113) movable between a rest position drawn near the suitcase body and an operative position projecting from the suitcase body to hold up a suitcase user with the wheels (16, 126) installed on the suitcase body being steering and there being a kinematic connection between the handlebar (14) and the wheels (16, 126) to control the steering. Said steering wheels are movable between a retracted position near the suitcase body and an operative position extended far from the suitcase body.  ",21
